University Name,Established Year,Country
Academy of Fine Arts Vienna,1692,Austria
University of Applied Arts Vienna,1867,Austria
Anton Bruckner Private University,2004,Austria
Bertha von Suttner Private University,2018,Austria
University of Natural Resources and Life Sciences Vienna,1872,Austria
Central European University,1991,Austria
Danube Private University,2009,Austria
Institute of Science and Technology Austria,2009,Austria
Gustav Mahler Private University of Music,2019,Austria
Jam Music Lab Private University,2011,Austria
Johannes Kepler University Linz,1966,Austria
Joseph-Haydn-Private University Burgenland,2023,Austria
Karl Landsteiner Private University of Health Sciences,2012,Austria
University of Graz,1585,Austria
Catholic Private University Linz,2000,Austria
University of Klagenfurt,1970,Austria
University of Art and Design Linz,1973,Austria
University of Innsbruck,1669,Austria
Medical University of Graz,2004,Austria
Medical University of Innsbruck,2004,Austria
Medical University of Vienna,2004,Austria
Modul University Vienna,2007,Austria
University of Leoben,1840,Austria
Mozarteum University Salzburg,1841,Austria
University of Music and Performing Arts Graz,1970,Austria
University of Music and Performing Arts Vienna,1819,Austria
Music and Arts University of the City of Vienna,2005,Austria
New Design University,2004,Austria
Paracelsus Medical University,2003,Austria
University of Salzburg,1962,Austria
Seeburg Castle University,2007,Austria
Sigmund Freud Private University,2005,Austria
Stella Vorarlberg Private College of Music,2022,Austria
Graz University of Technology,1811,Austria
Vienna University of Technology,1815,Austria
UMIT Tirol - Private University for Health Sciences and Health Technology,2001,Austria
University of Veterinary Medicine Vienna,1765,Austria
Webster Vienna Private University,2001,Austria
University for Continuing Education Krems,1994,Austria
University of Sustainability - Charlotte Fresenius Private University,2022,Austria
University of Vienna,1365,Austria
Vienna University of Economics and Business,1898,Austria
Hochschule Burgenland,1994,Austria
Carinthia University of Applied Sciences,1995,Austria
Ferdinand Porsche Distance Learning University of Applied Sciences,2006,Austria
IMC University of Applied Sciences Krems,1994,Austria
"St, Pölten University of Applied Sciences",1994,Austria
University of Applied Military Sciences at the Theresian Military Academy,1751,Austria
University of Applied Sciences Wiener Neustadt,1994,Austria
University of Applied Sciences for Health Professions Upper Austria,2010,Austria
University of Applied Sciences Upper Austria,1994,Austria
University of Applied Sciences Salzburg,1995,Austria
Campus 02 University of Applied Sciences for Business,1996,Austria
FH Joanneum,1995,Austria
University of Applied Health Sciences Tyrol,2007,Austria
University of Applied Sciences Kufstein,1997,Austria
Management Center Innsbruck,1995,Austria
Vorarlberg University of Applied Sciences,1989,Austria
University of Applied Sciences BFI Vienna,1996,Austria
University of Applied Sciences Campus Vienna,2001,Austria
Lauder Business School,2003,Austria
University of Applied Sciences Technikum Wien,1994,Austria
FHWien of WKW,1994,Austria
Private University of Education Burgenland,2007,Austria
University of Education Carinthia,2007,Austria
University of Education Lower Austria,2007,Austria
Private University College of Education of the Diocese of Linz,1967,Austria
University of Education Upper Austria,2007,Austria
University of Education Salzburg,1968,Austria
Augustinum Private University of Education,2007,Austria
University College of Teacher Education Styria,2007,Austria
Edith Stein University of Education,2007,Austria
University of Education Tyrol,2007,Austria
University of Education Vorarlberg,2007,Austria
University of Agricultural and Environmental Education,2007,Austria
University of Education Vienna,2007,Austria
University of Education Vienna/Lower Austria,2007,Austria
University of Sarajevo,1949,Bosnia and Herzegovina
University of Mostar,1977,Bosnia and Herzegovina
University of Banja Luka,1975,Bosnia and Herzegovina
University of Tuzla,1976,Bosnia and Herzegovina
University of East Sarajevo,1992,Bosnia and Herzegovina
University of Zenica,2000,Bosnia and Herzegovina
University Džemal Bijedić of Mostar,1993,Bosnia and Herzegovina
University of Bihać,1997,Bosnia and Herzegovina
University of Helsinki,1640,Finland
Åbo Akademi University,1918,Finland
University of Turku,1920,Finland
University of Jyväskylä,1934,Finland
University of Oulu,1958,Finland
University of Vaasa,1968,Finland
University of Lapland,1979,Finland
University of Eastern Finland,2010,Finland
Aalto University,2010,Finland
LUT University,2019,Finland
Tampere University,2019,Finland
RWTH Aachen University,1870,Germany
Augsburg University,1970,Germany
University of Bamberg,1972,Germany
University of Bayreuth,1975,Germany
